
  'mortality rate' | per capita daily mortality | individual-1 day-1
  'pre-oviposition period' | mean duration from adult emergence to onset of ... | days
  'blood feeding frequency' | mean lifetime blood meals individual-1 | blood meals
  'development time' | mean duration period from aphid birth to its fi... | days
  'longevity' | median adult lifespan | days
  'ovipositioning' | proportion of blood fed mosquitoes laying egg r... | proportion
  'egg viability' | mean percentage of viable eggs produced per female | eggs individual-1
  'fat content' | mean lipid content per individual | ug mg-1 individual-1
  'pre-blood meal period' | average duration from emergence to first blood ... | days
  'resource consumption rate' | mean daily resource consumption rate | cm2 day-1
  'blood feeding' | percent taking one bloodmeal | percent
  'transmission potential' | percent of individuals with transmission potential | percent
  'lipid content' | mean lipid content per individual | ug
  'protein content' | mean protein content per individual | ug
  'glycogen content' | mean glycogen content per individual | ug
  'ovariole number' | mean number of ovarioles per individual | ovarioles individual-1
  'reproductive capacity' | mean lifetime nymphs (30 days) | nymphs individual-1
  'mortality rate' | mean per capita rate of mortality during life s... | individual-1 day-1
  'resource consumption rate' | mean lifetime prey consumed | individual prey individual-1
  'age specific fecundity' | mean number of female offspring individual-1 at... | females individual-1
  'mortality' | cummulative mortality percentage across immatur... | percent
  'fecundity rate' | maximum progengy individual-1 day-1 | progeny individual-1 day-1
  'hatching range' | range of the number of days all eggs hatched fr... | days
  'age at first reproduction' | mean age at first reproduction | days
  'chill-coma recovery time' | mean duration for individuals to regain full mo... | minutes
  'chill-coma recovery time' | mean duration for individuals to regain full mo... | minutes
  'heat knockdown time' | mean duration individuals can tolerate heat exp... | minutes
  'heat knockdown time' | mean duration individuals can tolerate heat exp... | minutes
  'consumption rate' | mean relative consumption rate | mg of aphids
  'growth rate' | mean daily growth rate (the product of ln pupal... | ln(mg day-1)
  'weight loss' | proportionate weight loss in relation to temper... | proportion
  'mortality' | time to 50% mortality | days
  'feeding rate' | mean lifetime feeding punctures | feeding punctures individual-1
  'EIP (extrinsic incubation period)' | day sporozoites first detected in salivary glands | days
  'oocyst prevalence' | not stated | percent
  'oocyst intensity' | not stated | not stated
  'sporozoite prevalence' | not stated | percent
  'copulation duration' | mean copulation duration | hours individual-1 lifetime-1
  'prey consumption' | mean number of prey consumed | number of individual prey individual-1
  'mortality rate' | mean death rate during life stage | individual-1 day-1
  'parasite maturation time' | mean duration time from infective feed to matur... | days
  'interlarval period' | mean frequency of larval production | days
  'survival' | probability of survival after exposure to extre... | probability
  'fat consumption rate' | mean daily rate of fat consumption | mg day-1
  'pre-reproductive period' | mean duration to production of first larva | days
  'blood feeding' | mean lifetime blood feeds | blood meals individual-1
  'relative activity' | amount of activity as a percentage of maximum r... | percent
  'anabolic rate' | mean anabolic rate | uW mg-1
  'fecundity' | individual-level mean eggs per gonotrophic cycle | eggs cycle-1
  'viral load' | individual-level viral load | PFU (plaque-forming units)
  'starvation tolerance' | individual-level starvation tolerance as a func... | days
  'recovery time' | individual-level duration to recover movement a... | seconds
  'mortality rate' | individual-level per capita daily rate of morta... | indivdual-1 day-1
  'juvenile life span' | individual-level duration from hatching to deat... | days
  'bloodmeal weight' | individual-level weight of bloodmeal | mg
  'knockdown time' | mean time for 50% knockdown of femelaes under e... | minutes
  'development time' | mean duration of larval attachment developmenta... | days
  'egg size' | mean weight of egg mass produced by adult femal... | mg
  'sex ratio' | ratio of male ticks to female ticks | ratio
  'fertility' | percentage of females that laid fertile eggs | percent
  'oviposition failure' | mean probability of failure to oviposit | probability
  'fecundity rate' | mean weight of egg mass per day | mg eggs day-1
  'weight loss' | cumulative weight loss across time (see notes f... | percent
  'development rate' | mean development rate per day | percent day-1
  'mortality' | number of dead individuals per group | individuals
  'weight loss' | mean weight loss | mg
  'feeding preference' | mean number of individual ticks selecting to fe... | individuals
  'survival rate' | percent surviving to oviposition | percent
  'preoviposition period' | mean duration of life stage | days
  'molt success rate (larval)' | percentage that molted | percent
  'molting period (larval)' | mean duration of life stage | days
  'molting ratio (larval)' | percentage that molted during life stage | percent
  'prefeeding period (larval)' | mean duration of life stage | days
  'prefeeding period (adult)' | mean duration of life stage | days
  'molt success rate (larval)' | percentage that molted during life stage | percent
  'pre-hatch period' | number of days until hatching | days
  'mortality (larval)' | duration for 100% mortality (unfed larvae) | weeks
  'mortality (nymphal)' | duration for 50% mortality (unfed nymphs) | weeks
  'mortality (adult)' | mean duration for 100% mortality (unfed adults) | weeks
  'development time' | mean time to complete nymphal devlopment | days
  'reproductive capacity' | proportion of individuals that laid eggs after ... | proportion
  'fertility' | mean number of hatched eggs in an individuals l... | eggs individual-1
  'lifespan' | mean duration of entrie lifespan (from egg to a... | days
  'total preoviposition period' | mean duration from egg to onset of reproduction | days
  'sex ratio' | mean proportion of female adults cohort-1 | ratio
  'sex ratio' | ratio of male psyllids to female psyllids | ratio
  'head capsule width' | mean width of head capsule | mm
  'cold hardiness' | percent of eggs hatched after being exposed to ... | percent
  'temperature thresholds for oviposition' | number of psyllid eggs laid over a 48 hour peri... | number of eggs
  'mortality rate' | inverse of mean longevity | days-1
  'age at first reproduction' | mean duration of life stage | days
  'life cycle' | mean duration of entire life cycle | days
  'age at first reproduction' | mean duration from birth to onset of reproduction | days
  'age at first reproduction' | mean age at the onset of reproduction | days
  'growth rate' | mean relative growth rate (ln(adult moult weigh... | ug ug-1 day-1
  'effective fecundity' | mean number of nymphs produced individual-1 dur... | nymphs unit time-1
  'body size (alate)' | mean wet mass | mg
  'body size (apterous)' | mean wet mass | mg
  'maximum fecundity' | mean duration from onset of reproduction to max... | days
  'body size (alate nymph)' | mean wet mass | days
  'body size (apterous nymph)' | mean wet mass | days
  'fecundity (alate)' | mean lifetime offspring | days
  'fecundity (apterous)' | mean lifetime offspring | days
  'fecundity rate (alate)' | mean offspring per unit time | offspring individual-1 day-1
  'longevity (apterous)' | mean duration of life stage | days
  'longevity (alate)' | mean duration of life stage | days
  'development duration' | period at 4th instar | days
  'fertility' | number of offspring produced | number of offspring
  'pre-reproductive period' | period of time before female aphids reproduce | days
  'reproductive period' | period of time where female aphids reproduce | days
  'nymph production' | number of nymphs produced / female | number of nymphs produced / female
  'reproduction period' | duration of developmental phases in days | days
  'survival' | cumulative daily survival | lx
  'average daily fecundity' | daily fecundity of female aphids | mx
  'development time' | nymphal development time | days
  'adult longevity' | period from adult emergence until death | days
  'mean fecundity' | number of nymphs deposited | oviparae/gynoparae
  'percent survival' | percent of adult aphids that were still alive e... | percent
  'age-specific daily fecundity' | new nymphs produced each day | mean number of nymphs
  'feeding behavior' | initiation of stylet penetration of leaf tissue | percent
  'Pre-reproductive average' | Period from birth until first molt | days
  'Reproductive average' | Period from the adult stage (genital plate appe... | days
  'Post-reproductive average' | period from the end of reproduction until death | days
  'development time' | mean nymphal development time | days
  'fecundity' | number of aphids produced | number of offspring
  'hypostome length' | mean length of hypostome (appendage on the mouth) | mm
  'development time' | mean duration of attachment period | days
  'peak fecundity' | day post engorgement on which an individual fem... | days
  'body size' | mean wet mass of an individual tick post engorg... | mg
  'survival time' | mean survival time of fasting nymphs | days
  'Pre-Oviposition Period' | Pre-oviposition period of ticks held at constan... | days
  'Oviposition Rate' | mean number of eggs per female | eggs
  'Weight' | Weight of eggs laid by an individual engorged f... | g
  'Weight' | Weight of an individual engorged female in gram... | g
  'Weight' | mean weight of larvae during their feeding period | mg
  'Incubation Period' | Incubation period of ticks held at constant tem... | days
  'preoviposition period' | mean Preoviposition Period in days at adult fem... | days
  'weight' | Mean weight on day of hatching | ug
  'weight' | Mean weight 14 days after hatching | ug
