trait_name,trait_def,ontology,term_id,term_label,term_definition,similarity,above_threshold
body length,mean length (unfed ),OBA,OBA:2045456,body mass to body extent ratio,A compound attribute that is the ratio of body mass to body extent.,0.3163,FALSE
body length,mean length (unfed ),OBA,OBA:0000102,microvillus length,The length of a microvillus.,0.4649,FALSE
body length,mean length (unfed ),OBA,OBA:0002056,face length,The length of a face.,0.3844,FALSE
body length,mean length (unfed ),OBA,OBA:0002069,chin length,The length of a chin.,0.395,FALSE
body length,mean length (unfed ),PATO,PATO:0000122,length,"Length often refers to the longer or longest dimension of an object, however, this is not always true. See https://github.com/pato-ontology/pato/issues/337 for full discussion.",0.3511,FALSE
body length,mean length (unfed ),PATO,PATO:0000573,increased length,A length quality which is relatively large.,0.4006,FALSE
body length,mean length (unfed ),PATO,PATO:0000574,decreased length,A length quality which is relatively small.,0.4123,FALSE
body length,mean length (unfed ),PATO,PATO:0045054,normal length,A length quality which is relatively normal or average,0.4536,FALSE
body length,mean length (unfed ),PATO,PATO:0040030,decreased width and length,"A width and length quality which is relatively small, where both width and length are decreased.",0.3096,FALSE
body length,mean length (engorged ),OBA,OBA:VT0001256,body length,The length of a multicellular organism.,0.4802,FALSE
body length,mean length (engorged ),OBA,OBA:2045456,body mass to body extent ratio,A compound attribute that is the ratio of body mass to body extent.,0.2764,FALSE
body length,mean length (engorged ),OBA,OBA:0000102,microvillus length,The length of a microvillus.,0.4553,FALSE
body length,mean length (engorged ),OBA,OBA:0002056,face length,The length of a face.,0.3787,FALSE
body length,mean length (engorged ),OBA,OBA:0002069,chin length,The length of a chin.,0.4068,FALSE
body length,mean length (engorged ),PATO,PATO:0000122,length,"Length often refers to the longer or longest dimension of an object, however, this is not always true. See https://github.com/pato-ontology/pato/issues/337 for full discussion.",0.3785,FALSE
body length,mean length (engorged ),PATO,PATO:0000573,increased length,A length quality which is relatively large.,0.464,FALSE
body length,mean length (engorged ),PATO,PATO:0000574,decreased length,A length quality which is relatively small.,0.4211,FALSE
body length,mean length (engorged ),PATO,PATO:0045054,normal length,A length quality which is relatively normal or average,0.4706,FALSE
body length,mean length (engorged ),PATO,PATO:0040030,decreased width and length,"A width and length quality which is relatively small, where both width and length are decreased.",0.3238,FALSE
body width,mean width (unfed),OBA,OBA:VT0015039,body width,The width of a multicellular organism.,0.4681,FALSE
body width,mean width (unfed),OBA,OBA:1000085,nucleus width,The width of a nucleus.,0.4534,FALSE
body width,mean width (unfed),OBA,OBA:2040146,cell width,The width of a cell.,0.4093,FALSE
body width,mean width (unfed),OBA,OBA:VT0000027,head width,The width of a head.,0.4496,FALSE
body width,mean width (unfed),OBA,OBA:VT0000132,epiphysis width,The width of a epiphysis.,0.3768,FALSE
body width,mean width (unfed),PATO,PATO:0000921,width,"Width often refers to the dimension that is greater than the extent in only one of the other two orthogonal dimensions, however, this is not always true. See https://github.com/pato-ontology/pato/issues/337 for full discussion.",0.381,FALSE
body width,mean width (unfed),PATO,PATO:0000599,decreased width,A width which is relatively small.,0.4454,FALSE
body width,mean width (unfed),PATO,PATO:0000600,increased width,A width which is relatively large.,0.4426,FALSE
body width,mean width (unfed),PATO,PATO:0045061,normal width,A width which is relatively normal or average,0.499,FALSE
body width,mean width (unfed),PATO,PATO:0040030,decreased width and length,"A width and length quality which is relatively small, where both width and length are decreased.",0.3297,FALSE
body size,mean wet mass,OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.,0.2578,FALSE
body size,mean wet mass,OBA,OBA:0002793,ciliary body size,The size of a ciliary body.,0.1763,FALSE
body size,mean wet mass,OBA,OBA:0003321,pineal body size,The size of a pineal body.,0.2184,FALSE
body size,mean wet mass,OBA,OBA:VT0100005,body size trait,The size of a multicellular organism.,0.2571,FALSE
body size,mean wet mass,OBA,OBA:0002168,skin of body size,The size of a skin of body.,0.2491,FALSE
body size,mean wet mass,PATO,PATO:0000117,size,A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.,0.2728,FALSE
body size,mean wet mass,PATO,PATO:0000276,brood size,A reproductive quality inhering in the young of an animal by virtue of their number.,0.1747,FALSE
body size,mean wet mass,PATO,PATO:0000586,increased size,A size quality which is relatively high.,0.2042,FALSE
body size,mean wet mass,PATO,PATO:0000587,decreased size,A size quality which is relatively low.,0.1969,FALSE
body size,mean wet mass,PATO,PATO:0005015,tapered size,A size quality inhering in an entity or set of entities in which size increases or decreases along the extent of the entity or set.,0.1657,FALSE
body size,mean wet mass (waxless and gravid),OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.,0.1961,FALSE
body size,mean wet mass (waxless and gravid),OBA,OBA:0002793,ciliary body size,The size of a ciliary body.,0.1635,FALSE
body size,mean wet mass (waxless and gravid),OBA,OBA:0003321,pineal body size,The size of a pineal body.,0.2047,FALSE
body size,mean wet mass (waxless and gravid),OBA,OBA:VT0100005,body size trait,The size of a multicellular organism.,0.2208,FALSE
body size,mean wet mass (waxless and gravid),OBA,OBA:0002168,skin of body size,The size of a skin of body.,0.2725,FALSE
body size,mean wet mass (waxless and gravid),PATO,PATO:0000117,size,A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.,0.2373,FALSE
body size,mean wet mass (waxless and gravid),PATO,PATO:0000276,brood size,A reproductive quality inhering in the young of an animal by virtue of their number.,0.2367,FALSE
body size,mean wet mass (waxless and gravid),PATO,PATO:0000586,increased size,A size quality which is relatively high.,0.1304,FALSE
body size,mean wet mass (waxless and gravid),PATO,PATO:0000587,decreased size,A size quality which is relatively low.,0.1344,FALSE
body size,mean wet mass (waxless and gravid),PATO,PATO:0005015,tapered size,A size quality inhering in an entity or set of entities in which size increases or decreases along the extent of the entity or set.,0.1122,FALSE
body size,mean dry mass,OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.,0.2616,FALSE
body size,mean dry mass,OBA,OBA:0002793,ciliary body size,The size of a ciliary body.,0.1664,FALSE
body size,mean dry mass,OBA,OBA:0003321,pineal body size,The size of a pineal body.,0.2083,FALSE
body size,mean dry mass,OBA,OBA:VT0100005,body size trait,The size of a multicellular organism.,0.2338,FALSE
body size,mean dry mass,OBA,OBA:0002168,skin of body size,The size of a skin of body.,0.2144,FALSE
body size,mean dry mass,PATO,PATO:0000117,size,A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.,0.2579,FALSE
body size,mean dry mass,PATO,PATO:0000276,brood size,A reproductive quality inhering in the young of an animal by virtue of their number.,0.1464,FALSE
body size,mean dry mass,PATO,PATO:0000586,increased size,A size quality which is relatively high.,0.1984,FALSE
body size,mean dry mass,PATO,PATO:0000587,decreased size,A size quality which is relatively low.,0.2024,FALSE
body size,mean dry mass,PATO,PATO:0005015,tapered size,A size quality inhering in an entity or set of entities in which size increases or decreases along the extent of the entity or set.,0.1475,FALSE
body size,mean body weight,OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.,0.3008,FALSE
body size,mean body weight,OBA,OBA:0002793,ciliary body size,The size of a ciliary body.,0.2641,FALSE
body size,mean body weight,OBA,OBA:0003321,pineal body size,The size of a pineal body.,0.2909,FALSE
body size,mean body weight,OBA,OBA:VT0100005,body size trait,The size of a multicellular organism.,0.2426,FALSE
body size,mean body weight,OBA,OBA:0002168,skin of body size,The size of a skin of body.,0.3588,FALSE
body size,mean body weight,PATO,PATO:0000117,size,A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.,0.2559,FALSE
body size,mean body weight,PATO,PATO:0000276,brood size,A reproductive quality inhering in the young of an animal by virtue of their number.,0.118,FALSE
body size,mean body weight,PATO,PATO:0000586,increased size,A size quality which is relatively high.,0.1567,FALSE
body size,mean body weight,PATO,PATO:0000587,decreased size,A size quality which is relatively low.,0.1732,FALSE
body size,mean body weight,PATO,PATO:0005015,tapered size,A size quality inhering in an entity or set of entities in which size increases or decreases along the extent of the entity or set.,0.1232,FALSE
body size,individual-level mass,OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.,0.2161,FALSE
body size,individual-level mass,OBA,OBA:0002793,ciliary body size,The size of a ciliary body.,0.1363,FALSE
body size,individual-level mass,OBA,OBA:0003321,pineal body size,The size of a pineal body.,0.1252,FALSE
body size,individual-level mass,OBA,OBA:VT0100005,body size trait,The size of a multicellular organism.,0.2867,FALSE
body size,individual-level mass,OBA,OBA:0002168,skin of body size,The size of a skin of body.,0.201,FALSE
body size,individual-level mass,PATO,PATO:0000117,size,A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.,0.2825,FALSE
body size,individual-level mass,PATO,PATO:0000276,brood size,A reproductive quality inhering in the young of an animal by virtue of their number.,0.1621,FALSE
body size,individual-level mass,PATO,PATO:0000586,increased size,A size quality which is relatively high.,0.2068,FALSE
body size,individual-level mass,PATO,PATO:0000587,decreased size,A size quality which is relatively low.,0.2347,FALSE
body size,individual-level mass,PATO,PATO:0005015,tapered size,A size quality inhering in an entity or set of entities in which size increases or decreases along the extent of the entity or set.,0.2462,FALSE
body size,individual-level wet mass,OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.,0.223,FALSE
body size,individual-level wet mass,OBA,OBA:0002793,ciliary body size,The size of a ciliary body.,0.1861,FALSE
body size,individual-level wet mass,OBA,OBA:0003321,pineal body size,The size of a pineal body.,0.2096,FALSE
body size,individual-level wet mass,OBA,OBA:VT0100005,body size trait,The size of a multicellular organism.,0.2873,FALSE
body size,individual-level wet mass,OBA,OBA:0002168,skin of body size,The size of a skin of body.,0.2825,FALSE
body size,individual-level wet mass,PATO,PATO:0000117,size,A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.,0.2666,FALSE
body size,individual-level wet mass,PATO,PATO:0000276,brood size,A reproductive quality inhering in the young of an animal by virtue of their number.,0.2038,FALSE
body size,individual-level wet mass,PATO,PATO:0000586,increased size,A size quality which is relatively high.,0.1939,FALSE
body size,individual-level wet mass,PATO,PATO:0000587,decreased size,A size quality which is relatively low.,0.2199,FALSE
body size,individual-level wet mass,PATO,PATO:0005015,tapered size,A size quality inhering in an entity or set of entities in which size increases or decreases along the extent of the entity or set.,0.1793,FALSE
body size,mean wet mass on the day feeding was completed,OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.,0.1687,FALSE
body size,mean wet mass on the day feeding was completed,OBA,OBA:0002793,ciliary body size,The size of a ciliary body.,0.1213,FALSE
body size,mean wet mass on the day feeding was completed,OBA,OBA:0003321,pineal body size,The size of a pineal body.,0.1475,FALSE
body size,mean wet mass on the day feeding was completed,OBA,OBA:VT0100005,body size trait,The size of a multicellular organism.,0.1767,FALSE
body size,mean wet mass on the day feeding was completed,OBA,OBA:0002168,skin of body size,The size of a skin of body.,0.1802,FALSE
body size,mean wet mass on the day feeding was completed,PATO,PATO:0000117,size,A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.,0.1705,FALSE
body size,mean wet mass on the day feeding was completed,PATO,PATO:0000276,brood size,A reproductive quality inhering in the young of an animal by virtue of their number.,0.1781,FALSE
body size,mean wet mass on the day feeding was completed,PATO,PATO:0000586,increased size,A size quality which is relatively high.,0.1027,FALSE
body size,mean wet mass on the day feeding was completed,PATO,PATO:0000587,decreased size,A size quality which is relatively low.,0.0979,FALSE
body size,mean wet mass on the day feeding was completed,PATO,PATO:0005015,tapered size,A size quality inhering in an entity or set of entities in which size increases or decreases along the extent of the entity or set.,0.0817,FALSE
body size,mean weight of nymphs post-feeding,OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.,0.2341,FALSE
body size,mean weight of nymphs post-feeding,OBA,OBA:0002793,ciliary body size,The size of a ciliary body.,0.2384,FALSE
body size,mean weight of nymphs post-feeding,OBA,OBA:0003321,pineal body size,The size of a pineal body.,0.2939,FALSE
body size,mean weight of nymphs post-feeding,OBA,OBA:VT0100005,body size trait,The size of a multicellular organism.,0.2389,FALSE
body size,mean weight of nymphs post-feeding,OBA,OBA:0002168,skin of body size,The size of a skin of body.,0.2476,FALSE
body size,mean weight of nymphs post-feeding,PATO,PATO:0000117,size,A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.,0.2,FALSE
body size,mean weight of nymphs post-feeding,PATO,PATO:0000276,brood size,A reproductive quality inhering in the young of an animal by virtue of their number.,0.2468,FALSE
body size,mean weight of nymphs post-feeding,PATO,PATO:0000586,increased size,A size quality which is relatively high.,0.1213,FALSE
body size,mean weight of nymphs post-feeding,PATO,PATO:0000587,decreased size,A size quality which is relatively low.,0.1283,FALSE
body size,mean weight of nymphs post-feeding,PATO,PATO:0005015,tapered size,A size quality inhering in an entity or set of entities in which size increases or decreases along the extent of the entity or set.,0.1135,FALSE
body size,mean body weight of engorged adult females,OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.,0.2647,FALSE
body size,mean body weight of engorged adult females,OBA,OBA:0002793,ciliary body size,The size of a ciliary body.,0.2721,FALSE
body size,mean body weight of engorged adult females,OBA,OBA:0003321,pineal body size,The size of a pineal body.,0.3151,FALSE
body size,mean body weight of engorged adult females,OBA,OBA:VT0100005,body size trait,The size of a multicellular organism.,0.2256,FALSE
body size,mean body weight of engorged adult females,OBA,OBA:0002168,skin of body size,The size of a skin of body.,0.2865,FALSE
body size,mean body weight of engorged adult females,PATO,PATO:0000117,size,A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.,0.1952,FALSE
body size,mean body weight of engorged adult females,PATO,PATO:0000276,brood size,A reproductive quality inhering in the young of an animal by virtue of their number.,0.1938,FALSE
body size,mean body weight of engorged adult females,PATO,PATO:0000586,increased size,A size quality which is relatively high.,0.134,FALSE
body size,mean body weight of engorged adult females,PATO,PATO:0000587,decreased size,A size quality which is relatively low.,0.1288,FALSE
body size,mean body weight of engorged adult females,PATO,PATO:0005015,tapered size,A size quality inhering in an entity or set of entities in which size increases or decreases along the extent of the entity or set.,0.1037,FALSE
body size,mean wet mass on the day feeding was completed (engorged),OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.,0.2077,FALSE
body size,mean wet mass on the day feeding was completed (engorged),OBA,OBA:0002793,ciliary body size,The size of a ciliary body.,0.1543,FALSE
body size,mean wet mass on the day feeding was completed (engorged),OBA,OBA:0003321,pineal body size,The size of a pineal body.,0.1821,FALSE
body size,mean wet mass on the day feeding was completed (engorged),OBA,OBA:VT0100005,body size trait,The size of a multicellular organism.,0.1955,FALSE
body size,mean wet mass on the day feeding was completed (engorged),OBA,OBA:0002168,skin of body size,The size of a skin of body.,0.2086,FALSE
body size,mean wet mass on the day feeding was completed (engorged),PATO,PATO:0000117,size,A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.,0.2009,FALSE
body size,mean wet mass on the day feeding was completed (engorged),PATO,PATO:0000276,brood size,A reproductive quality inhering in the young of an animal by virtue of their number.,0.2055,FALSE
body size,mean wet mass on the day feeding was completed (engorged),PATO,PATO:0000586,increased size,A size quality which is relatively high.,0.1226,FALSE
body size,mean wet mass on the day feeding was completed (engorged),PATO,PATO:0000587,decreased size,A size quality which is relatively low.,0.1072,FALSE
body size,mean wet mass on the day feeding was completed (engorged),PATO,PATO:0005015,tapered size,A size quality inhering in an entity or set of entities in which size increases or decreases along the extent of the entity or set.,0.1148,FALSE
body mass,mean weight of female,OBA,OBA:VT0001259,body mass,The mass of a multicellular organism.,0.3502,FALSE
body mass,mean weight of female,OBA,OBA:VT0010482,body fat mass,The mass of a adipose tissue.,0.4032,FALSE
body mass,mean weight of female,OBA,OBA:2045456,body mass to body extent ratio,A compound attribute that is the ratio of body mass to body extent.,0.2865,FALSE
body mass,mean weight of female,OBA,OBA:2045455,body mass to height ratio,A compound attribute that is the ratio of body mass to body height.,0.2869,FALSE
body mass,mean weight of female,OBA,OBA:2030004,total skin mass,The mass of a skin of body.,0.3632,FALSE
body mass,mean weight of female,PATO,PATO:0000125,mass,"For any biological use of PATO, the concept that should be used is 'mass' and not 'weight'. For example, increased weight of an organism.",0.289,FALSE
body mass,mean weight of female,PATO,PATO:0001019,mass density,A physical quality which inheres in a bearer by virtue of some influence is exerted by the bearer's mass per unit size.,0.1982,FALSE
body mass,mean weight of female,PATO,PATO:0001562,decreased mass,A mass which is lower than normal or average.,0.3786,FALSE
body mass,mean weight of female,PATO,PATO:0001563,increased mass,A mass which is higher than normal or average.,0.3301,FALSE
body mass,mean weight of female,PATO,PATO:0001681,molar mass,A physical quality that inheres in a homogeneous substance containing 6.02 x 1023 atoms or molecules.,0.1212,FALSE
body size,mean dry mass. relationship between dry mass and wing length,OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.,0.2387,FALSE
body size,mean dry mass. relationship between dry mass and wing length,OBA,OBA:0002793,ciliary body size,The size of a ciliary body.,0.2181,FALSE
body size,mean dry mass. relationship between dry mass and wing length,OBA,OBA:0003321,pineal body size,The size of a pineal body.,0.23,FALSE
body size,mean dry mass. relationship between dry mass and wing length,OBA,OBA:VT0100005,body size trait,The size of a multicellular organism.,0.2651,FALSE
body size,mean dry mass. relationship between dry mass and wing length,OBA,OBA:0002168,skin of body size,The size of a skin of body.,0.2726,FALSE
body size,mean dry mass. relationship between dry mass and wing length,PATO,PATO:0000117,size,A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.,0.2846,FALSE
body size,mean dry mass. relationship between dry mass and wing length,PATO,PATO:0000276,brood size,A reproductive quality inhering in the young of an animal by virtue of their number.,0.1539,FALSE
body size,mean dry mass. relationship between dry mass and wing length,PATO,PATO:0000586,increased size,A size quality which is relatively high.,0.1785,FALSE
body size,mean dry mass. relationship between dry mass and wing length,PATO,PATO:0000587,decreased size,A size quality which is relatively low.,0.1939,FALSE
body size,mean dry mass. relationship between dry mass and wing length,PATO,PATO:0005015,tapered size,A size quality inhering in an entity or set of entities in which size increases or decreases along the extent of the entity or set.,0.2133,FALSE
body size,dry mass,OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.,0.24,FALSE
body size,dry mass,OBA,OBA:0002793,ciliary body size,The size of a ciliary body.,0.1493,FALSE
body size,dry mass,OBA,OBA:0003321,pineal body size,The size of a pineal body.,0.1666,FALSE
body size,dry mass,OBA,OBA:VT0100005,body size trait,The size of a multicellular organism.,0.2301,FALSE
body size,dry mass,OBA,OBA:0002168,skin of body size,The size of a skin of body.,0.2294,FALSE
body size,dry mass,PATO,PATO:0000117,size,A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.,0.2501,FALSE
body size,dry mass,PATO,PATO:0000276,brood size,A reproductive quality inhering in the young of an animal by virtue of their number.,0.1451,FALSE
body size,dry mass,PATO,PATO:0000586,increased size,A size quality which is relatively high.,0.1977,FALSE
body size,dry mass,PATO,PATO:0000587,decreased size,A size quality which is relatively low.,0.1928,FALSE
body size,dry mass,PATO,PATO:0005015,tapered size,A size quality inhering in an entity or set of entities in which size increases or decreases along the extent of the entity or set.,0.1426,FALSE
body size (alate),mean wet mass,OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.,0.2578,FALSE
body size (alate),mean wet mass,OBA,OBA:0002793,ciliary body size,The size of a ciliary body.,0.1763,FALSE
body size (alate),mean wet mass,OBA,OBA:0003321,pineal body size,The size of a pineal body.,0.2184,FALSE
body size (alate),mean wet mass,OBA,OBA:VT0100005,body size trait,The size of a multicellular organism.,0.2571,FALSE
body size (alate),mean wet mass,OBA,OBA:0002168,skin of body size,The size of a skin of body.,0.2491,FALSE
body size (alate),mean wet mass,PATO,PATO:0000117,size,A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.,0.2728,FALSE
body size (alate),mean wet mass,PATO,PATO:0000276,brood size,A reproductive quality inhering in the young of an animal by virtue of their number.,0.1747,FALSE
body size (alate),mean wet mass,PATO,PATO:0000586,increased size,A size quality which is relatively high.,0.2042,FALSE
body size (alate),mean wet mass,PATO,PATO:0000587,decreased size,A size quality which is relatively low.,0.1969,FALSE
body size (alate),mean wet mass,PATO,PATO:0005015,tapered size,A size quality inhering in an entity or set of entities in which size increases or decreases along the extent of the entity or set.,0.1657,FALSE
body size (apterous),mean wet mass,OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.,0.2578,FALSE
body size (apterous),mean wet mass,OBA,OBA:0002793,ciliary body size,The size of a ciliary body.,0.1763,FALSE
body size (apterous),mean wet mass,OBA,OBA:0003321,pineal body size,The size of a pineal body.,0.2184,FALSE
body size (apterous),mean wet mass,OBA,OBA:VT0100005,body size trait,The size of a multicellular organism.,0.2571,FALSE
body size (apterous),mean wet mass,OBA,OBA:0002168,skin of body size,The size of a skin of body.,0.2491,FALSE
body size (apterous),mean wet mass,PATO,PATO:0000117,size,A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.,0.2728,FALSE
body size (apterous),mean wet mass,PATO,PATO:0000276,brood size,A reproductive quality inhering in the young of an animal by virtue of their number.,0.1747,FALSE
body size (apterous),mean wet mass,PATO,PATO:0000586,increased size,A size quality which is relatively high.,0.2042,FALSE
body size (apterous),mean wet mass,PATO,PATO:0000587,decreased size,A size quality which is relatively low.,0.1969,FALSE
body size (apterous),mean wet mass,PATO,PATO:0005015,tapered size,A size quality inhering in an entity or set of entities in which size increases or decreases along the extent of the entity or set.,0.1657,FALSE
body size (apterous nymph),mean wet mass,OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.,0.2578,FALSE
body size (apterous nymph),mean wet mass,OBA,OBA:0002793,ciliary body size,The size of a ciliary body.,0.1763,FALSE
body size (apterous nymph),mean wet mass,OBA,OBA:0003321,pineal body size,The size of a pineal body.,0.2184,FALSE
body size (apterous nymph),mean wet mass,OBA,OBA:VT0100005,body size trait,The size of a multicellular organism.,0.2571,FALSE
body size (apterous nymph),mean wet mass,OBA,OBA:0002168,skin of body size,The size of a skin of body.,0.2491,FALSE
body size (apterous nymph),mean wet mass,PATO,PATO:0000117,size,A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.,0.2728,FALSE
body size (apterous nymph),mean wet mass,PATO,PATO:0000276,brood size,A reproductive quality inhering in the young of an animal by virtue of their number.,0.1747,FALSE
body size (apterous nymph),mean wet mass,PATO,PATO:0000586,increased size,A size quality which is relatively high.,0.2042,FALSE
body size (apterous nymph),mean wet mass,PATO,PATO:0000587,decreased size,A size quality which is relatively low.,0.1969,FALSE
body size (apterous nymph),mean wet mass,PATO,PATO:0005015,tapered size,A size quality inhering in an entity or set of entities in which size increases or decreases along the extent of the entity or set.,0.1657,FALSE
body size (mass),mean wet mass,OBA,OBA:VT0001259,body mass,The mass of a multicellular organism.,0.5192,FALSE
body size (mass),mean wet mass,OBA,OBA:VT0010482,body fat mass,The mass of a adipose tissue.,0.4705,FALSE
body size (mass),mean wet mass,OBA,OBA:2045456,body mass to body extent ratio,A compound attribute that is the ratio of body mass to body extent.,0.3409,FALSE
body size (mass),mean wet mass,OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.,0.2578,FALSE
body size (mass),mean wet mass,OBA,OBA:0002793,ciliary body size,The size of a ciliary body.,0.1763,FALSE
body size (mass),mean wet mass,PATO,PATO:0001019,mass density,A physical quality which inheres in a bearer by virtue of some influence is exerted by the bearer's mass per unit size.,0.3789,FALSE
body size (mass),mean wet mass,PATO,PATO:0103001,total mass,"A quantitative quality that represents the sum of all 'mass' qualities of the component parts that constitute a whole entity. The total mass quality inheres in the whole entity and reflects the aggregate measure of mass across all its components, such that changes in the mass of individual components may not necessarily correspond to equivalent changes in the total mass of the whole.

Example of usage: ""total body mass"" represents the sum of the masses of all tissues and organs in the body, while ""liver mass"" represents only the mass of the liver. An increase in liver mass does not necessarily mean an increase in total body mass, as the mass of other organs or tissues may decrease simultaneously.",0.4458,FALSE
body size (mass),mean wet mass,PATO,PATO:0000125,mass,"For any biological use of PATO, the concept that should be used is 'mass' and not 'weight'. For example, increased weight of an organism.",0.4789,FALSE
body size (mass),mean wet mass,PATO,PATO:0001562,decreased mass,A mass which is lower than normal or average.,0.4235,FALSE
body size (mass),mean wet mass,PATO,PATO:0001563,increased mass,A mass which is higher than normal or average.,0.4504,FALSE
body size,mean of weight (unfed),OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.,0.2085,FALSE
body size,mean of weight (unfed),OBA,OBA:0002793,ciliary body size,The size of a ciliary body.,0.2077,FALSE
body size,mean of weight (unfed),OBA,OBA:0003321,pineal body size,The size of a pineal body.,0.2351,FALSE
body size,mean of weight (unfed),OBA,OBA:VT0100005,body size trait,The size of a multicellular organism.,0.1957,FALSE
body size,mean of weight (unfed),OBA,OBA:0002168,skin of body size,The size of a skin of body.,0.2338,FALSE
body size,mean of weight (unfed),PATO,PATO:0000117,size,A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.,0.1701,FALSE
body size,mean of weight (unfed),PATO,PATO:0000276,brood size,A reproductive quality inhering in the young of an animal by virtue of their number.,0.2178,FALSE
body size,mean of weight (unfed),PATO,PATO:0000586,increased size,A size quality which is relatively high.,0.1187,FALSE
body size,mean of weight (unfed),PATO,PATO:0000587,decreased size,A size quality which is relatively low.,0.1418,FALSE
body size,mean of weight (unfed),PATO,PATO:0005015,tapered size,A size quality inhering in an entity or set of entities in which size increases or decreases along the extent of the entity or set.,0.0911,FALSE
body size,mean of weight (engorged),OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.,0.2458,FALSE
body size,mean of weight (engorged),OBA,OBA:0002793,ciliary body size,The size of a ciliary body.,0.2449,FALSE
body size,mean of weight (engorged),OBA,OBA:0003321,pineal body size,The size of a pineal body.,0.2773,FALSE
body size,mean of weight (engorged),OBA,OBA:VT0100005,body size trait,The size of a multicellular organism.,0.2157,FALSE
body size,mean of weight (engorged),OBA,OBA:0002168,skin of body size,The size of a skin of body.,0.2578,FALSE
body size,mean of weight (engorged),PATO,PATO:0000117,size,A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.,0.2474,FALSE
body size,mean of weight (engorged),PATO,PATO:0000276,brood size,A reproductive quality inhering in the young of an animal by virtue of their number.,0.1872,FALSE
body size,mean of weight (engorged),PATO,PATO:0000586,increased size,A size quality which is relatively high.,0.1488,FALSE
body size,mean of weight (engorged),PATO,PATO:0000587,decreased size,A size quality which is relatively low.,0.149,FALSE
body size,mean of weight (engorged),PATO,PATO:0005015,tapered size,A size quality inhering in an entity or set of entities in which size increases or decreases along the extent of the entity or set.,0.1825,FALSE
body size,mean wet mass of an individual tick post engorgement,OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.,0.2345,FALSE
body size,mean wet mass of an individual tick post engorgement,OBA,OBA:0002793,ciliary body size,The size of a ciliary body.,0.2237,FALSE
body size,mean wet mass of an individual tick post engorgement,OBA,OBA:0003321,pineal body size,The size of a pineal body.,0.2715,FALSE
body size,mean wet mass of an individual tick post engorgement,OBA,OBA:VT0100005,body size trait,The size of a multicellular organism.,0.2745,FALSE
body size,mean wet mass of an individual tick post engorgement,OBA,OBA:0002168,skin of body size,The size of a skin of body.,0.2594,FALSE
body size,mean wet mass of an individual tick post engorgement,PATO,PATO:0000117,size,A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.,0.2314,FALSE
body size,mean wet mass of an individual tick post engorgement,PATO,PATO:0000276,brood size,A reproductive quality inhering in the young of an animal by virtue of their number.,0.2131,FALSE
body size,mean wet mass of an individual tick post engorgement,PATO,PATO:0000586,increased size,A size quality which is relatively high.,0.1512,FALSE
body size,mean wet mass of an individual tick post engorgement,PATO,PATO:0000587,decreased size,A size quality which is relatively low.,0.1399,FALSE
body size,mean wet mass of an individual tick post engorgement,PATO,PATO:0005015,tapered size,A size quality inhering in an entity or set of entities in which size increases or decreases along the extent of the entity or set.,0.1498,FALSE
Weight,mean weight of larvae during their feeding period,OBA,OBA:VT0004257,placenta mass,The mass of a placenta.,0.3718,FALSE
