"ID","n_points","AIC_quad","BIC_quad","AIC_cubic","BIC_cubic","AIC_logistic","BIC_logistic","converged_logistic","N0_logistic","Nmax_logistic","rmax_logistic","AIC_gompertz","BIC_gompertz","converged_gompertz","N0_gompertz","Nmax_gompertz","rmax_gompertz","tlag_gompertz","best_AIC","best_BIC","Species","Temp","Medium","PopBio_units"
44,24,31.948049021866,36.6602643432578,-6.27479868675993,-0.384529535020198,25.0936985433957,29.8059138647875,TRUE,-3.88454946012428,-1.04609095326102,0.0597843587310812,28.1752839201821,34.0655530719218,TRUE,-4.00523941689782,-1.04829573094904,0.0569610158662512,0,"Cubic","Cubic","Clavibacter.michiganensis..RDA.R.",15,"TSB","OD_595"
45,12,22.4132248315058,24.3528514306578,17.1555460547559,19.5800793036959,9.4833098989268,11.4229364980788,TRUE,-4.66990357448005,-1.32938849172451,0.130445177599957,12.3759101295954,14.8004433785354,TRUE,-4.74362361686346,-1.32420786808407,0.12391299252387,0,"Logistic","Logistic","Chryseobacterium.balustinum",25,"TSB","OD_595"
46,17,13.3417045444091,16.674557920634,-5.04510466805318,-0.879037947772101,-8.06819996981665,-4.73534659359178,TRUE,-3.4345271432599,-0.144283183848704,0.0568996533542766,-3.69711021691973,0.468956503361353,TRUE,-3.58270189992141,-0.143485822850176,0.0581424921471402,0,"Logistic","Logistic","Enterobacter.sp.",25,"TSB","OD_595"
47,15,17.0595337456721,19.891734550081,10.2567550112547,13.7970060167658,12.678403588089,15.5106043924978,TRUE,-4.28704250654587,-0.684332591244429,0.0950073182686509,15.5550837634338,19.0953347689449,TRUE,-4.43033825663128,-0.6902101378627,0.0980263357857086,0,"Cubic","Cubic","Pantoea.agglomerans.1",25,"TSB","OD_595"
48,15,26.9540358757728,29.7862366801817,23.7959720071017,27.3362230126128,21.5758372006182,24.408038005027,TRUE,-4.94869746934112,-0.941181951431912,0.142088088207972,23.6461880968784,27.1864391023895,TRUE,-5.1542410959155,-0.939727939641314,0.15498522456512,0,"Logistic","Logistic","Pantoea.agglomerans.2",25,"TSB","OD_595"
49,14,29.6443227064742,32.2005520249353,19.9984625424581,23.1937491905344,1.87389422660061,4.43012354506164,TRUE,-5.28973939641402,-1.46685260695767,0.167101046500719,4.15496150596814,7.35024815404443,TRUE,-5.43589079690683,-1.4660641563837,0.170797921483253,0,"Logistic","Logistic","Bacillus.pumilus",25,"TSB","OD_595"
50,15,30.8794999795737,33.7117007839826,23.769722650314,27.3099736558251,-2.61842384505315,0.213776959355691,TRUE,-4.14349177607892,-0.510047535055652,0.316085256898119,0.957687527657123,4.49793853316817,TRUE,-4.22282748707654,-0.507714560892472,0.306811121555019,0,"Logistic","Logistic","Clavibacter.michiganensis",25,"TSB","OD_595"
51,13,22.8739684946904,25.1337659245366,14.2908728987333,17.115619686041,1.28126674279018,3.54106417263633,TRUE,-4.66121755002199,-1.72704090004552,0.267608600424456,3.73990033458177,6.56464712188945,TRUE,-4.72563907038893,-1.72746795762551,0.24395190385753,0,"Logistic","Logistic","Pseudomonas.fluorescens.1",25,"TSB","OD_595"
52,13,31.8861548015247,34.1459522313709,24.6907993924019,27.5155461797096,3.22751901454482,5.48731644439096,TRUE,-4.73051448896442,-1.27973505619487,0.280583195544137,10.9434227044979,13.7681694918056,TRUE,-4.98079707762357,-1.29147537404291,0.30031043158384,0,"Logistic","Logistic","Pseudomonas.fluorescens.2",25,"TSB","OD_595"
53,14,25.1462854334443,27.7025147519053,16.7808739984139,19.9761606464902,11.5007121402927,14.0569414587537,TRUE,-4.02271324555401,-1.97522655801832,0.335989496778116,14.2236989518997,17.418985599976,TRUE,-4.08526230715944,-1.98098112638664,0.263294120000662,0,"Logistic","Logistic","Acinetobacter.clacoaceticus.1",25,"TSB","OD_595"
